City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
2,Vaini,TO,78.8,broken clouds,-21.2,-175.2,Keleti Beach Resort
3,Kaihua,CN,78.12,broken clouds,23.37,104.28,Zhongyu Hotel
6,Gladstone,AU,75.2,clear sky,-23.85,151.25,Highpoint International
7,Bengkulu,ID,85.37,scattered clouds,-3.8,102.27,Grage Hotel Bengkulu
16,Isangel,VU,78.8,broken clouds,-19.55,169.27,Volcano Sea View Tree House
20,Ponta Do Sol,PT,77.0,light intensity drizzle rain,32.67,-17.1,Hotel do Campo
26,Kapaa,US,82.4,few clouds,22.08,-159.32,Sheraton Kauai Resort at Coconut Beach
30,Caucaia,BR,79.0,few clouds,-3.74,-38.65,M.O.S. Logística - Filial Fortaleza
31,Butaritari,KI,82.42,broken clouds,3.07,172.79,Isles Sunset Lodge
32,Lazaro Cardenas,MX,78.96,broken clouds,17.96,-102.2,Collection O Hotel Quinta Antigua
35,Makakilo City,US,87.8,few clouds,21.35,-158.09,Marriott's Ko Olina Beach Club
44,Hithadhoo,MV,82.33,overcast clouds,-0.6,73.08,Scoop Guest House
45,Tautira,PF,84.2,few clouds,-17.73,-149.15,Pension Oaoa
50,Victoria,HK,90.0,scattered clouds,22.29,114.16,Mini Hotel Central
52,Georgetown,MY,87.8,few clouds,5.41,100.34,Cititel Penang
55,Vung Tau,VN,85.6,broken clouds,10.35,107.08,Seaside Resort
59,Aswan,EG,77.74,clear sky,24.09,32.91,Nuba Nile
62,Esna,EG,80.6,clear sky,25.29,32.55,Orient Star Dahabyia Isna 05 Nights Each Sunday
64,Alta Floresta,BR,75.36,clear sky,-9.88,-56.09,Floresta Amazonica Hotel
68,Namatanai,PG,84.52,scattered clouds,-3.67,152.43,Namatanai Hotel
72,Norsup,VU,78.8,broken clouds,-16.07,167.38,Nabelchel Bungalows
73,Roseburg,US,84.2,clear sky,43.22,-123.34,Holiday Inn Express Roseburg
76,Salalah,OM,75.2,light intensity drizzle,17.02,54.09,HAMDAN PLAZA HOTEL
78,Riyadh,SA,78.8,broken clouds,24.69,46.72,InterContinental Riyadh
82,Avarua,CK,77.0,clear sky,-21.21,-159.78,Paradise Inn
86,Ormara,PK,82.24,scattered clouds,25.21,64.64,
87,Bilma,NE,89.96,broken clouds,18.69,12.92,Expeditions Ténére voyages
106,Kavieng,PG,84.47,clear sky,-2.57,150.8,Nusa Island Retreat
107,Hilo,US,84.2,clear sky,19.73,-155.09,Hilo Hawaiian Hotel
115,Kirakira,SB,84.78,overcast clouds,-10.45,161.92,SanBiz Lodge
118,Dingle,PH,88.05,broken clouds,11.0,122.67,Camp Pasica
119,Atuona,PF,78.15,light rain,-9.8,-139.03,Villa Enata
121,Kathu,TH,84.99,moderate rain,7.92,98.33,Sunset Beach Resort
127,Kudahuvadhoo,MV,82.04,overcast clouds,2.67,72.89,Kudahuvadhoo Retreat
129,Kendari,ID,86.36,scattered clouds,-3.94,122.5,Hotel Wixel
130,Manzil Kamil,TN,81.0,clear sky,35.62,10.67,Boukarra Ali
139,Mawana,IN,82.94,few clouds,29.1,77.92,Gareeb Nawaz Hotel Mawana
140,Lincoln,US,78.8,overcast clouds,40.8,-96.67,Courtyard by Marriott Lincoln Downtown/Haymarket
143,Kulhudhuffushi,MV,83.14,scattered clouds,6.62,73.07,Haajy Guest House 1
146,Trinidad,BO,78.37,clear sky,-14.83,-64.9,Hotel Piesta
156,Hambantota,LK,86.0,broken clouds,6.12,81.12,Bungalow 63
160,Cairns,AU,75.0,light intensity shower rain,-16.92,145.77,Mantra Trilogy Cairns
164,Araioses,BR,76.17,clear sky,-2.89,-41.9,Pousada Vale do magu
165,Muroto,JP,89.6,scattered clouds,33.28,134.15,Oota Ryokan
171,Nichinan,JP,87.8,scattered clouds,31.6,131.37,Guest House Aki
173,Kuandian,CN,80.35,overcast clouds,40.73,124.78,Hi Inn Dandong Kuandian Ji Xian Garden
176,Seoul,KR,80.6,moderate rain,37.57,126.98,LOTTE HOTEL SEOUL
178,Tahta,EG,78.8,clear sky,26.77,31.5,Møhãmęd Tãręk 🏠
190,Macomb,US,80.01,clear sky,40.46,-90.67,Hampton Inn Macomb
