City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Dabakala,CI,8.37,-4.43,70.95,95,90,6.58,overcast clouds
1,Mataura,NZ,-46.19,168.86,52.25,64,100,11.07,overcast clouds
2,Vaini,TO,-21.2,-175.2,78.8,78,75,9.17,broken clouds
3,Kaihua,CN,23.37,104.28,78.12,67,82,7.36,broken clouds
4,Bredasdorp,ZA,-34.53,20.04,46.4,87,81,9.17,light rain
5,Grand Gaube,MU,-20.01,57.66,70.0,80,2,5.99,clear sky
6,Gladstone,AU,-23.85,151.25,75.2,41,9,20.8,clear sky
7,Bengkulu,ID,-3.8,102.27,85.37,63,32,7.85,scattered clouds
8,Zhangye,CN,38.93,100.45,57.07,73,100,9.78,overcast clouds
9,Chuy,UY,-33.7,-53.46,57.7,95,79,4.7,broken clouds
10,Puerto Ayora,EC,-0.74,-90.35,64.99,87,60,8.68,broken clouds
11,Tuktoyaktuk,CA,69.45,-133.04,48.2,66,75,13.87,broken clouds
12,Richards Bay,ZA,-28.78,32.04,62.51,87,63,4.36,broken clouds
13,Arraial Do Cabo,BR,-22.97,-42.03,71.49,87,0,25.64,clear sky
14,Norman Wells,CA,65.28,-126.83,50.0,66,90,4.7,overcast clouds
15,Rikitea,PF,-23.12,-134.97,69.51,65,0,5.48,clear sky
16,Isangel,VU,-19.55,169.27,78.8,88,75,9.17,broken clouds
17,Bilibino,RU,68.05,166.44,52.18,51,100,4.81,overcast clouds
18,Chokurdakh,RU,70.63,147.92,40.98,81,100,8.16,overcast clouds
19,Morro Da Fumaca,BR,-28.65,-49.21,63.16,89,1,2.73,clear sky
20,Ponta Do Sol,PT,32.67,-17.1,77.0,69,40,10.29,light intensity drizzle rain
21,Albany,US,42.6,-73.97,62.01,84,70,2.15,broken clouds
22,Santa Cruz,BO,-17.8,-63.17,73.4,83,0,5.82,clear sky
23,Kodiak,US,57.79,-152.41,62.6,51,1,4.7,clear sky
24,Hofn,IS,64.25,-15.21,51.37,62,49,11.01,scattered clouds
25,Qaqortoq,GL,60.72,-46.03,55.4,50,100,20.8,light rain
26,Kapaa,US,22.08,-159.32,82.4,65,20,13.87,few clouds
27,Ambilobe,MG,-13.2,49.05,68.81,65,0,4.94,clear sky
28,Saint-Philippe,RE,-21.36,55.77,68.0,72,41,5.82,scattered clouds
29,Hermanus,ZA,-34.42,19.23,48.0,82,76,1.99,light rain
30,Caucaia,BR,-3.74,-38.65,79.0,78,20,13.87,few clouds
31,Butaritari,KI,3.07,172.79,82.42,74,68,12.88,broken clouds
32,Lazaro Cardenas,MX,17.96,-102.2,78.96,83,83,4.27,broken clouds
33,College,US,64.86,-147.8,60.8,67,75,1.66,thunderstorm
34,Busselton,AU,-33.65,115.33,57.99,58,11,7.0,few clouds
35,Makakilo City,US,21.35,-158.09,87.8,45,20,9.17,few clouds
36,Saskylakh,RU,71.92,114.08,65.26,40,0,7.65,clear sky
37,Kibuye,RW,-2.06,29.35,66.72,64,5,1.3,clear sky
38,Barrow,US,71.29,-156.79,37.4,86,90,16.11,mist
39,Upernavik,GL,72.79,-56.15,39.34,73,0,13.65,clear sky
40,Nemuro,JP,43.32,145.57,62.6,93,75,12.75,light intensity shower rain
41,Kemijarvi,FI,66.71,27.43,48.16,69,100,3.06,overcast clouds
42,Owando,CG,-0.48,15.9,68.43,94,100,2.73,overcast clouds
43,Punta Arenas,CL,-53.15,-70.92,30.2,68,57,14.99,broken clouds
44,Hithadhoo,MV,-0.6,73.08,82.33,70,100,11.56,overcast clouds
45,Tautira,PF,-17.73,-149.15,84.2,54,20,3.36,few clouds
46,Mehamn,NO,71.04,27.85,43.65,72,82,7.05,broken clouds
47,Cherskiy,RU,68.75,161.3,49.69,71,100,9.17,overcast clouds
