City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Avarua,CK,2020-08-25 04:47:39,-21.21,-159.78,75.2,73,62,13.87
1,Rikitea,PF,2020-08-25 04:47:01,-23.12,-134.97,71.64,88,0,10.31
2,Abilene,US,2020-08-25 04:47:39,32.45,-99.73,82.4,39,1,10.29
3,Leningradskiy,RU,2020-08-25 04:47:39,69.38,178.42,42.53,90,100,8.93
4,Cape Town,ZA,2020-08-25 04:47:40,-33.93,18.42,51.01,100,82,3.36
5,Hobart,AU,2020-08-25 04:44:12,-42.88,147.33,55.4,47,75,13.87
6,Airai,TL,2020-08-25 04:47:40,-8.93,125.41,74.19,40,0,8.32
7,Busselton,AU,2020-08-25 04:47:40,-33.65,115.33,63.0,62,49,3.0
8,Chicama,PE,2020-08-25 04:47:40,-7.84,-79.15,58.82,87,19,4.45
9,Kano,NG,2020-08-25 04:47:40,12.0,8.52,71.6,94,74,4.7
10,Coquimbo,CL,2020-08-25 04:37:46,-29.95,-71.34,52.59,80,4,3.51
11,Hermanus,ZA,2020-08-25 04:47:03,-34.42,19.23,45.0,94,100,6.15
12,Vaini,TO,2020-08-25 04:47:40,-21.2,-175.2,78.8,83,20,6.93
13,Ushuaia,AR,2020-08-25 04:46:52,-54.8,-68.3,32.0,90,75,3.36
14,Butaritari,KI,2020-08-25 04:47:40,3.07,172.79,82.13,69,100,7.99
15,Srandakan,ID,2020-08-25 04:47:08,-7.94,110.25,87.22,56,0,16.96
16,Bam,IR,2020-08-25 04:43:35,29.11,58.36,93.25,22,28,5.08
17,Kodiak,US,2020-08-25 04:47:41,57.79,-152.41,62.6,51,1,9.17
18,Mataura,NZ,2020-08-25 04:47:41,-46.19,168.86,45.0,72,79,11.01
19,Laje,BR,2020-08-25 04:47:41,-10.18,-40.97,65.98,83,38,11.77
20,Inirida,CO,2020-08-25 04:47:41,3.87,-67.92,72.61,96,91,1.72
21,Copalillo,MX,2020-08-25 04:47:41,18.03,-99.12,72.0,83,100,0.94
22,Georgetown,MY,2020-08-25 04:43:36,5.41,100.34,89.6,66,20,6.93
23,Gravdal,NO,2020-08-25 04:47:41,68.12,13.5,44.6,93,75,4.7
24,Cap Malheureux,MU,2020-08-25 04:37:45,-19.98,57.61,71.01,78,35,7.0
25,Albany,US,2020-08-25 04:43:06,42.6,-73.97,70.0,100,40,3.91
26,Kapaa,US,2020-08-25 04:47:41,22.08,-159.32,82.4,69,75,10.29
27,Shishou,CN,2020-08-25 04:47:41,29.72,112.42,77.77,86,100,7.63
28,Broome,US,2020-08-25 04:47:13,42.25,-75.83,69.01,88,20,6.93
29,Nanortalik,GL,2020-08-25 04:47:41,60.14,-45.24,42.49,87,81,8.16
30,Ravne,SI,2020-08-25 04:47:41,45.96,15.01,60.01,88,55,1.88
31,Humaita,BR,2020-08-25 04:47:41,-7.51,-63.02,72.43,48,0,0.16
32,Punta Arenas,CL,2020-08-25 04:43:04,-53.15,-70.92,30.2,92,0,9.17
33,Isangel,VU,2020-08-25 04:47:42,-19.55,169.27,77.0,88,75,9.17
34,Tarakan,ID,2020-08-25 04:47:42,3.3,117.63,83.3,70,7,3.98
35,Nome,US,2020-08-25 04:47:33,64.5,-165.41,55.4,71,75,5.82
36,Sorong,ID,2020-08-25 04:42:50,-0.88,131.25,83.44,77,32,11.39
37,Clyde River,CA,2020-08-25 04:47:42,70.47,-68.59,38.43,91,83,5.12
38,Havelock,US,2020-08-25 04:47:42,34.88,-76.9,81.0,78,40,6.93
39,Chute-Aux-Outardes,CA,2020-08-25 04:47:42,49.12,-68.4,60.8,55,90,9.17
40,Beringovskiy,RU,2020-08-25 04:47:42,63.05,179.32,52.14,76,50,5.08
41,Nikolskoye,RU,2020-08-25 04:47:42,59.7,30.79,59.0,87,16,4.47
42,Duldurga,RU,2020-08-25 04:47:42,50.68,113.59,66.52,53,76,5.23
43,Dingle,PH,2020-08-25 04:47:42,11.0,122.67,88.79,70,66,9.75
44,Luwuk,ID,2020-08-25 04:47:42,-0.95,122.79,83.5,66,30,9.6
45,Severo-Kurilsk,RU,2020-08-25 04:47:43,50.68,156.12,56.98,76,28,6.15
46,Jamestown,US,2020-08-25 04:47:43,42.1,-79.24,69.8,83,20,6.93
47,Sao Filipe,CV,2020-08-25 04:47:43,14.9,-24.5,77.45,80,36,1.99
48,Poya,NC,2020-08-25 04:47:43,-21.35,165.15,73.58,60,1,12.33
49,Sitka,US,2020-08-25 04:47:43,57.05,-135.33,55.4,82,90,9.17
50,Cabedelo,BR,2020-08-25 04:47:43,-6.98,-34.83,68.0,94,0,6.93
51,Faanui,PF,2020-08-25 04:47:43,-16.48,-151.75,77.38,81,9,18.39
52,Bredasdorp,ZA,2020-08-25 04:47:43,-34.53,20.04,51.8,100,100,4.7
53,Mar Del Plata,AR,2020-08-25 04:44:39,-38.0,-57.56,53.6,93,90,16.04
54,Port Alfred,ZA,2020-08-25 04:47:43,-33.59,26.89,61.68,85,100,16.24
55,Erzin,TR,2020-08-25 04:47:43,36.96,36.2,75.99,68,0,1.21
56,Puerto Ayora,EC,2020-08-25 04:47:44,-0.74,-90.35,66.99,87,76,1.01
57,Barrow,US,2020-08-25 04:47:44,71.29,-156.79,42.8,81,90,6.93
58,Toamasina,MG,2020-08-25 04:47:44,-18.17,49.38,66.2,93,20,1.23
59,Atuona,PF,2020-08-25 04:47:44,-9.8,-139.03,78.57,76,10,14.05
60,Tasiilaq,GL,2020-08-25 04:47:44,65.61,-37.64,37.4,89,23,2.19
61,Saldanha,ZA,2020-08-25 04:37:53,-33.01,17.94,42.8,93,2,3.36
62,Zhanakorgan,KZ,2020-08-25 04:47:44,43.91,67.25,74.48,39,0,10.51
63,Sainte-Maxime,FR,2020-08-25 04:47:44,43.3,6.63,70.0,76,34,3.36
64,Hilo,US,2020-08-25 04:43:35,19.73,-155.09,82.4,69,75,5.82
65,Beyneu,KZ,2020-08-25 04:47:44,45.32,55.2,76.51,30,50,3.0
66,Yellowknife,CA,2020-08-25 04:45:54,62.46,-114.35,55.4,82,75,10.29
67,Hay River,CA,2020-08-25 04:47:44,60.82,-115.8,55.4,82,75,9.17
68,Copiapo,CL,2020-08-25 04:37:51,-27.37,-70.33,55.4,76,52,5.82
69,Westport,US,2020-08-25 04:47:44,41.14,-73.36,78.8,83,1,4.7
70,Rio Gallegos,AR,2020-08-25 04:47:44,-51.62,-69.22,30.2,86,0,10.29
71,Castro,BR,2020-08-25 04:47:05,-24.79,-50.01,46.33,95,40,9.19
72,Torbay,CA,2020-08-25 04:47:45,47.67,-52.73,57.0,100,90,5.82
73,Tuktoyaktuk,CA,2020-08-25 04:47:45,69.45,-133.04,48.2,100,75,8.05
74,Paamiut,GL,2020-08-25 04:47:45,61.99,-49.67,42.22,78,0,10.29
75,Cockburn Town,TC,2020-08-25 04:47:45,21.46,-71.14,83.12,75,0,17.2
76,Codrington,AU,2020-08-25 04:47:45,-38.27,141.97,54.46,71,63,12.33
77,Antalaha,MG,2020-08-25 04:47:31,-14.9,50.28,74.5,74,66,6.13
78,Gouyave,GD,2020-08-25 04:47:45,12.16,-61.73,82.4,83,20,10.29
79,Moron,AR,2020-08-25 04:47:45,-34.65,-58.62,64.99,67,74,4.0
80,Chokurdakh,RU,2020-08-25 04:47:45,70.63,147.92,44.6,60,73,6.73
81,Kismayo,SO,2020-08-25 04:47:35,-0.36,42.55,78.78,78,45,16.73
82,Rocky Mount,US,2020-08-25 04:45:52,35.94,-77.79,77.0,88,1,5.82
83,Montepuez,MZ,2020-08-25 04:47:45,-13.13,39.0,67.62,79,86,3.87
84,Henties Bay,NA,2020-08-25 04:37:46,-22.12,14.28,55.0,90,65,3.09
85,Lazurne,UA,2020-08-25 04:47:45,46.08,32.53,64.0,67,1,4.47
86,Vila Franca Do Campo,PT,2020-08-25 04:47:45,37.72,-25.43,73.4,88,40,8.05
87,Bluff,NZ,2020-08-25 04:47:13,-46.6,168.33,45.0,72,69,11.01
88,Port Said,EG,2020-08-25 04:45:22,31.26,32.28,78.8,83,0,6.93
89,Provideniya,RU,2020-08-25 04:47:46,64.38,-173.3,53.6,76,90,8.95
90,Lalsk,RU,2020-08-25 04:47:46,60.74,47.59,60.44,91,61,6.35
91,East London,ZA,2020-08-25 04:47:46,-33.02,27.91,59.0,100,100,6.93
92,Half Moon Bay,US,2020-08-25 04:43:32,37.46,-122.43,66.0,93,90,4.7
93,Akureyri,IS,2020-08-25 04:47:17,65.68,-18.09,33.8,75,0,0.78
94,La Asuncion,VE,2020-08-25 04:46:35,11.03,-63.86,82.4,83,93,10.29
95,Upernavik,GL,2020-08-25 04:47:29,72.79,-56.15,42.76,88,100,4.52
96,Ilulissat,GL,2020-08-25 04:47:46,69.22,-51.1,39.2,93,90,0.92
